created_at,id,text,source,name,username,location,verified,description,retweets,likes,attachments,replies
2022-06-23 17:20:18+00:00,1540021943495266304,Still no news from prudential.....the way treat their customers....very #stressed,Twitter for Android,Kevin Hsu,deg26xj,"Mississauga, Ontario",0.0,I am currently running my own platform businesses. as well as supporting people to build side business besides their careers,0,0,NaN,"{""data"":[{""id"":""1540130662333566976"",""text"":""@dich62 \uD83D\uDC9C☹️☹️\uD83D\uDC9C""},{""id"":""1540041277848408064"",""text"":""@dich62 \uD83D\uDE22""}],""meta"":{""newest_id"":""1540130662333566976"",""oldest_id"":""1540041277848408064"",""result_count"":2 }}"
2022-06-23 07:58:53+00:00,1539880661380517888,@nationalexpress can you tell me what time the coach is expected to be in Penzance. It’s supposed to be departing at 8.15am. Still not here. Passengers including myself are stressed. #nationalexpress #stressed,Twitter for iPhone,"Jeffrey Rose, CMH",hypnotistinNYC,Virtually anywhere in the 🌎,0.0,"#NYC clinical #Hypnotist, #Nutritionist, #Sleep Specialist & #Health coach can help you overcome life's challenges w/ #hypnosis. Zoom sessions also available.",0,0,NaN,"{""data"":[{""id"":""1540284497245229056"",""text"":""@Persian_Peach @Pati I'm sorry to hear about delay to your journey yesterday. I hope that you did enjoy the overall experience with us ,despite the delay.""}],""meta"":{""newest_id"":""1540284497245229056"",""oldest_id"":""1540284497245229056"",""result_count"":1 }}"
2022-06-23 03:31:21+00:00,1539813334643576832,"I need a break... I need a shoulder rub, a head pet, fingers through the hair, whatever that is, and a slap on the face that says.. it's gonna be ok. You know, some care here and there, ha! #stressed #care #Caring #depressed",Twitter for Android,NaN,NaN,NaN,,NaN,0,5,NaN,"{""data"":[{""id"":""1539957042949095424"",""text"":""@JimothyN7 Same bro""}],""meta"":{""newest_id"":""1539957042949095424"",""oldest_id"":""1539957042949095424"",""result_count"":1 }}"
2022-06-23 02:12:31+00:00,1539793494822240257,Having a fat Nike discount is already testing my will power #stressed,Twitter for iPhone,NaN,NaN,NaN,,NaN,0,0,NaN,"{""data"":[{""id"":""1540070133963563008"",""text"":""@fan_reddish aye can you shoot me a dm real quick.""},{""id"":""1539799303647948800"",""text"":""@fan_reddish Only buy the essentials https://t.co/BjdLYJLLIb""}],""meta"":{""newest_id"":""1540070133963563008"",""oldest_id"":""1539799303647948800"",""result_count"":2 }}"
2022-06-22 22:36:01+00:00,1539739008359878657,And it's official! Second sem is done. Finally ✨gradwaiting🎓✨  #ILoveThesis #Kapoy #Stressed #HayopNaSemTo hahahahahahaha https://t.co/NdIbwqZfQe,Twitter for Android,NaN,NaN,NaN,,NaN,0,25,"{'media_keys': ['3_1539738976130838528', '3_1539738986763399169', '3_1539739001321816064']}","{""data"":[{""id"":""1539986041620545537"",""text"":""@nardistique CONGRATS TEH!!!""},{""id"":""1539774325624291328"",""text"":""@nardistique Congraaats Nard!! ✨\uD83D\uDC97""},{""id"":""1539739344373960704"",""text"":""@nardistique Ka bweset sa mga hashtags! Hahaha""},{""id"":""1539739226480472065"",""text"":""@nardistique Dasurvvv big congratulations!!!!""}],""meta"":{""newest_id"":""1539986041620545537"",""oldest_id"":""1539739226480472065"",""result_count"":4 }}"
2022-06-22 18:17:27+00:00,1539673940569776128,"Abbies new passport is lost🤦🏼‍♀️ does she need it flying to Scotland? Paid £157 4 months ago for a fast track one, how can this one now be lost 😭😭#stressed",Twitter for Android,NaN,NaN,NaN,,NaN,0,3,NaN,"{""data"":[{""id"":""1539721191467909121"",""text"":""@Carrick_Girl All domestic flights are photograph Id for boarding""},{""id"":""1539711261218410504"",""text"":""@Carrick_Girl If SNP take over she will probably require a new passport at, possibly, £200!!""},{""id"":""1539710776931385344"",""text"":""@Carrick_Girl is she old enough for / does she have a drivers licence""},{""id"":""1539694453497241605"",""text"":""@Carrick_Girl Photo Id depends though I flew from Manchester to Belfast earlier on in year with air lingus (only 1 available for the day I was going) and those fuckers asked for passport.""},{""id"":""1539693555475685376"",""text"":""@Carrick_Girl I’ve flown to Glasgow at least 10 times this football season and I’m yet to be asked for ID, I’ve only been asked for my ticket before boarding so they can scan it""},{""id"":""1539690030154792967"",""text"":""@Carrick_Girl Depends on the airline""},{""id"":""1539677429308047366"",""text"":""@Carrick_Girl No passport required, just photographic ID xx""}],""meta"":{""newest_id"":""1539721191467909121"",""oldest_id"":""1539677429308047366"",""result_count"":7 }}"
2022-06-22 14:00:42+00:00,1539609325471240193,"Sometimes you just need to rest and remember that God is watching over you AND watching out for you. ❤️ 

#Godisfaithful #GodIsGood #bestill #relax #GodMorningWednesday #encouragement #stressed #illness #sad #KeepGoing #YouMatter #JesusSaves #Hope #amwriting #WritingCommunity https://t.co/ncgfl3nP1l",Buffer,Joey Rudder,joeyrudder,NaN,0.0,"Christian fiction author, wife, and momma. Writing Christmas fiction & contemp. women's. Devotionals. Love Jesus & BIG cups of coffee. Member #ACFW #amwriting",1,3,{'media_keys': ['3_1539609323072012288']},"{""data"":[{""id"":""1539639762968973312"",""text"":""@joeyrudder https://t.co/dle1XRKj0E\n\nHey can you check out my new song!! Thanks for your time #GodIsGood""}],""meta"":{""newest_id"":""1539639762968973312"",""oldest_id"":""1539639762968973312"",""result_count"":1 }}"
2022-06-22 09:00:07+00:00,1539533682897190912,"Are your colleagues feeling #stressed? You should also make sure your team has realistic targets and clear priorities. Team members should still feel supported and motivated at work. To find out more about supporting your staff's #MentalHealth, visit:
https://t.co/7ufTzd2u2Q",Sprout Social,Holistic Emporium,HolisticEmp1,"87 Linksfield Road, Dowerglen ",0.0,"SA's number one Aromatherapy & Raw Material supplier.
Top quality products, Competitive prices and Fast delivery
Wide range of products local & imported.",4,5,NaN,"{""data"":[{""id"":""1539549303470972929"",""text"":""@acasorguk So many colleagues off sick or leaving due to workplace stress.Just another way to get rid of colleagues and get fresh new ones""}],""meta"":{""newest_id"":""1539549303470972929"",""oldest_id"":""1539549303470972929"",""result_count"":1 }}"
2022-06-22 05:17:44+00:00,1539477717137358848,I would like all loud noises to stop please #stressed,Twitter for Android,NaN,NaN,NaN,,NaN,0,1,NaN,"{""data"":[{""id"":""1539478840656793600"",""text"":""@chaosisorderly *hugs*""}],""meta"":{""newest_id"":""1539478840656793600"",""oldest_id"":""1539478840656793600"",""result_count"":1 }}"
2022-06-22 04:00:33+00:00,1539458291172098049,"OMG there's a house centipede above my bed and it's gonna to drop on me in the middle of the night and lay an egg in my throat and then when I wake and eat my chocolate cherry overnight oatmeal I am going to essplode and become a xenomorph!!!

#stressed https://t.co/7ADu2kUywJ",Twitter for Android,NaN,NaN,NaN,,NaN,0,8,{'media_keys': ['3_1539458288995164161']},"{""data"":[{""id"":""1539732247812706304"",""text"":""@CardboardNirvan yeah probably best to get your affairs in order""},{""id"":""1539710872121131008"",""text"":""@CardboardNirvan Pics or it didn't happen. \uD83D\uDE09\uD83D\uDE04""},{""id"":""1539585072000647168"",""text"":""@CardboardNirvan Destroy it with fire. If you it is still BUGGING you, I know some people upstate that take care of problems, if you know what I mean. (I wish twitter had a mafia guy voice that would read to people) https://t.co/VXq5pIsIXj""},{""id"":""1539579305885302784"",""text"":""@CardboardNirvan You should not fear it. Its a predator of smaller insects. You might be more worry about what you don't see \uD83D\uDE09\nI'm Sorry in Advance \nHave a great day!""},{""id"":""1539570071277916161"",""text"":""@CardboardNirvan Cooooool!""},{""id"":""1539565342070112256"",""text"":""@CardboardNirvan More likely it lays the eggs in your ear""},{""id"":""1539486827635163138"",""text"":""@CardboardNirvan https://t.co/1MylnZ15b3""},{""id"":""1539463934402502656"",""text"":""@CardboardNirvan I like to give these guys the bad end of a sandal.""},{""id"":""1539462151143936002"",""text"":""@CardboardNirvan You're fine: Most communities have a number you can call to have your house burned down with flamethrowers. https://t.co/W4GSbDnwJn""},{""id"":""1539462145779302401"",""text"":""@CardboardNirvan Satan's mustache.""}],""meta"":{""newest_id"":""1539732247812706304"",""oldest_id"":""1539462145779302401"",""result_count"":10 }}"
